ena\area1_055_001.wav|ここが素材にも見映えにもこだわってるっていうパンケーキの店ね
ena\area1_055_002.wav|えーっと、ふわっふわの生地にたくさんのフルーツが並び、写真映えもよし、味もよし！か
ena\area1_055_003.wav|これを私がもっと美味しそうに盛って撮れば……。ふふ、いいねもたくさんつきそう
ena\area1_056_001.wav|はぁ……学校なんてつまんない
ena\area1_056_002.wav|どうせ行くなら、絵の学校に……
ena\area1_056_003.wav|今さら、そんなこと言ってもしかたない、か。……早く帰って作業したいな
ena\area1_057_001.wav|ん？　ピクシェアの通知だ。ああ、フォローしてるモデルが更新したんだ
ena\area1_057_002.wav|あ……この写ってるバッグかわいい！どこのだろう？　メジャーなブランドだったら、ちゃんとロゴが見えるように自撮るはずだけど……
ena\area1_057_003.wav|こういう時は、このモデルが最近出た雑誌と、広告やってるメーカーからあたれば、案外見つけられるんだよね
ena\area1_100_001.wav|あーあ、学校面倒くさい
ena\area1_100_002.wav|私も通信制にすればよかったかなぁ通信制ならいつ起きてもいいっぽいし
ena\area1_100_003.wav|あ、でも、学校帰りに寄り道できなくなっちゃうんだ。それはそれでつまんないな……
ena\area1_101_001.wav|あれ、まだ全日制の子結構いる
ena\area1_101_002.wav|部活がようやく終わったところって感じなのかな
ena\area1_101_003.wav|朝からこんな時間まで学校にいなくちゃいけないなんて、私、絶対全日制ムリだな……
ena\area1_102_001.wav|彰人のヤツ、どこ行ったんだろ
ena\area1_102_002.wav|買い物頼みたかったから、いつもより早めに来たのに
ena\area1_102_003.wav|いいや、メッセージで頼んどこ
ena\areatalk_2_028_002.wav|数量限定のティントだしね。でもこれ……買えるかなぁ
ena\areatalk_2_028_004.wav|そうだね。せっかく頑張って早起きもしたし。愛莉と会うのも久しぶりだし、のんびりおしゃべりしよっか
ena\areatalk_2_028_006.wav|えー、聞きたい聞きたい！
ena\areatalk_2_086_002.wav|食べたいんでしょ、究極のパンケーキ。……次どっち？
ena\areatalk_2_086_004.wav|行ってみなくちゃわかんないでしょ。それに、ダメはダメでSNSのネタになるし
ena\areatalk_2_127_001.wav|奏、よかったね。カップ麺買えて。これで明日、カップ麺が届くまでしのげるんじゃない？
ena\areatalk_2_127_004.wav|そんなにご飯食べるのって面倒かな。私は美味しいものを食べられたら幸せな気持ちになれるけど
ena\areatalk_2_127_006.wav|えっ……そっちの方がすごい……。ていうか、それむしろヤバいんじゃない？
ena\areatalk_2_128_001.wav|あ、奏！　ログインしてこないなって思ったら、こっちにいたんだね
ena\areatalk_2_128_002.wav|ふふ。ねえ、ほら見て。昨日、食べに行ったチーズケーキ！かわいくて、美味しくて、最高だったよ
ena\areatalk_2_128_004.wav|わぁ、本当！？　それ、どこのお店？
ena\areatalk_2_128_006.wav|か、缶詰！？……ああそういえば、すぐ食べられるからって、缶詰もいろいろ買ってるんだったね
ena\areatalk_2_128_007.wav|んー、美味しい……のかな。……ちょっと気になるかも
ena\areatalk_2_130_001.wav|あれ、まふゆ？　まふゆも買い物中？
ena\areatalk_2_130_003.wav|私も買い物中。でも、荷物持ちに連れてきた弟がどこか行っちゃって
ena\areatalk_2_130_005.wav|え……そっちも親と買い物、来てるって……
ena\areatalk_2_130_006.wav|……へたにつつくと怖いし、やめとこ
ena\areatalk_2_140_001.wav|んー。よくわかんないなぁ……
ena\areatalk_2_140_003.wav|えっ、まふゆ！？こんなところで会うなんてちょっとびっくり
ena\areatalk_2_140_004.wav|実は今、イラストの参考になるかなって思っていろんなCDのジャケット見てて……
ena\areatalk_2_140_006.wav|は？　そっちから話しかけたくせに最後まで聞かないってどういうこと！？ちょっと待ちなさいよ、まふゆ！
ena\areatalk_2_141_003.wav|そっちの袋は、NY発の限定ショップの……！！
ena\areatalk_2_141_005.wav|そっちこそ、 見たいなら先に見せてよね？
ena\areatalk_2_147_001.wav|まふゆって、ファッションに気を使ったりしないの？
ena\areatalk_2_147_003.wav|ふーん。スタイルも顔もいいんだし、ちょっとくらい気にすればいいのに
ena\areatalk_2_147_005.wav|そんな棒読みで言われても……
ena\areatalk_2_147_006.wav|まあ、せっかくだし私の気が済むまでつきあってもらうからね
ena\areatalk_2_151_001.wav|奏、最近よくこっちで作業してるね
